issuer,contract,function,call_count,sum_runtime,pct_run_runtime,sum_read_count,pct_run_read_count,sum_read_length,pct_run_read_length,sum_write_count,pct_run_write_count,sum_write_length,pct_run_write_length,max_block_runtime,max_block_read_count,max_block_read_length,max_block_write_count,max_block_write_length,max_axis_share_pct
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-a,39,970403671,0.89,8519,0.14,16179032,0.06,580,0.05,3649,0.0,24942609,222,429592,16,96,0.89
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-a,38,923314614,0.85,5444,0.09,9682987,0.04,309,0.03,2166,0.0,24340227,146,283715,9,57,0.85
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-d,19,883945995,0.81,6352,0.11,12209497,0.05,445,0.04,2755,0.0,49103412,350,671075,25,153,0.81
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-transfer,withdraw-deposit-all,3,816898429,0.75,5346,0.09,23828679,0.09,194,0.02,27912,0.01,350512942,2312,10195544,81,11547,0.75
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-x-for-y,32,674164960,0.62,37696,0.63,2701568,0.01,224,0.02,16000,0.01,21067655,1178,84424,7,500,0.63
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-1,swap-y-for-x-simple-multi,59,639485886,0.59,14070,0.23,85340363,0.33,1133,0.1,27978,0.01,154965892,9913,63287910,644,11662,0.59
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,batch-create-listings,20,72071360,0.07,12080,0.2,373140,0.0,6000,0.55,540000,0.18,14414272,2416,74628,1200,108000,0.55
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-b,12,581670078,0.53,3264,0.05,6305954,0.02,216,0.02,1368,0.0,48480828,272,525675,18,114,0.53
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-1,swap-simple-multi,287,361419511,0.33,25213,0.42,133174049,0.52,3030,0.28,97269,0.03,36171536,2847,14214282,390,11912,0.52
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-b,20,482229598,0.44,5526,0.09,9998409,0.04,420,0.04,2566,0.0,25393114,289,520902,22,135,0.44
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,shim,r2,3,333677623,0.31,17148,0.29,5423270,0.02,484,0.04,18417,0.01,160930034,8016,1920162,174,6487,0.31
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,supply-collateral-add,22,305103830,0.28,4256,0.07,6327988,0.02,382,0.03,10637,0.0,105681069,424,762467,33,1939,0.28
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,psis,ry,3,288794958,0.27,14536,0.24,5152267,0.02,431,0.04,14741,0.0,141111605,6980,2100927,176,6021,0.27
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-velar-v-1-5,swap-helper-a,11,275721093,0.25,2261,0.04,4491596,0.02,181,0.02,6492,0.0,25066567,208,421024,19,592,0.25
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,more,r1,4,264628276,0.24,14559,0.24,5546928,0.02,409,0.04,16731,0.01,117559734,6929,1986629,175,6489,0.24
